Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",0805,2,22uF,
"C11, C7",0805,2,100nF,
"C4, C5, C6",0805,3,1uF,
C8,1206,1,10uF,
IC1,SOP65P600X115-25N,1,TLE94112ESXUMA1,
IC2,AP63203WU7,1,AP63203WU-7,
J1,PinSocket_1x20_P2.54mm_Vertical,1,Left Socket,
J2,PinSocket_1x20_P2.54mm_Vertical,1,Right Socket,
"J3, J4, J5",52207-0633,3,52207-0633,
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,L_Bourns-SRN4018,1,2.2uH,
"R1, R2, R3",0805,3,5.1k,
"R4, R5",0805,2,1k,
SW1,SW_PUSH-12mm,1,Control,
U1,QFN24_CYPD3177_INF,1,CYPD3177-24LQXQ,
